BlockId	 w4	 w5 	 w6 	 w7 	 w8
1	10.643688	11.024179	8.836344	11.112372	10.956738
2	22.749865	22.216669	21.730862	21.571074	22.749866
3	46.566135	44.433338	45.133331	43.786060	45.155037
4	69.687569	63.398407	63.905598	62.605747	65.884239
5	109.006920	105.907326	108.906395	105.258377	109.069260
6	242.241440	218.588257	229.493805	217.308609	196.836792
7	541.860413	436.088989	451.604614	413.328857	421.280731
8	606.590637	519.204224	498.891327	497.157532	529.635071
9	727.995667	707.137756	687.077393	681.969116	675.728271
10	1002.342712	858.671082	873.848938	804.519043	885.626465
BlockId	 w4	 w5 	 w6 	 w7 	 w8
1	2.865608	2.939781	2.876143	2.933666	2.811539
2	5.960464	5.763134	6.048795	5.987073	6.020671
3	12.681838	12.384607	11.974147	12.223607	12.548345
4	18.603743	17.322901	16.956842	15.992729	17.144709
5	28.441359	27.811050	27.034508	27.861940	28.023491
6	61.354206	57.301136	58.513325	58.857246	59.991310
7	154.950912	134.184235	132.367203	128.874908	135.935760
8	245.268845	216.783585	227.840271	210.443024	233.225677
9	415.983307	341.671814	336.590912	318.946198	379.512848
10	531.202393	499.044647	519.679810	496.695099	462.125031
